,rawcomment,sentiment_predictions,sarcasm_predictions
126,807 GOD 🤪🤪🤪,1,1
127,806 GOD 😀😀😀,1,1
128,805 GOD 😱😱😱,1,1
129,804 GOD 💖💖💖,1,1
130,803 GOD 🎈🎈🎈,1,1
131,802 GOD 🙏🙏🙏,1,1
132,801 GOD 😊😊😊,1,1
133,👎,1,0
134,ew,1,0
135,"2,9mlr people watch this song😵‍💫",1,0
136,"my Diggbast fans.  Justin Bieber
Singing good. my forever music video about BaBy
Zena my Forever fans. Justin Bieber have a good",2,1
137,6-02-2023,1,0
138,Que saudade dessa música❤❤😢😢,1,0
139,G I love you Justin Bieber so much😊,2,0
140,Any time,1,0
141,For you,1,0
142,Just dail upper phone no yellow resume,1,0
143,Hi kitty witty were,1,0
144,Soory for every thing muked in every comment what i say meet Mee after holy your every problem my problem,1,0
145,But gazious pikious mused up,1,1
146,I liked as god,1,1
147,No personal problem only heart problems,1,0
148,This time is every song misked Moked for you were you,1,0
149,Hi babes it time bedroom floor next song,1,0
150,Hi babe left more 10 month kundali energy over,1,0
151,Essa música é a minha preferida,1,0
152,"⚜️🔱⚜️ڊوُلُـِـِِـِِِـِِـِـة بـٌـٌٌـٌٌٌـٌٌـٌنـِِـِـي صُـ,ـځـٌٌـٌٌر 🔱⚜️🔱",1,0
153,"RATED TV-G 









           The persons and events in this film are fictitious. 
Any similarly to actual persons, living or dead, or actual events 
                   is purely coincidental and unintentional. 

This motion picture is protected under the laws of the United States 
       and other countries. Unauthorized duplication or exhibition 
             may result in civil liability and criminal prosecution. 


                             ©MMX Disney Enterprises, Inc. 
                                       All Rights Reserved.",0,0
154,It’s a shame we don’t listen to these type of songs anymore 😢,1,0
155,Iliyi,1,0
156,If you never Hurd this your a waste of space on this earth,0,1
157,He sounds like a girl,1,1
158,I LOVED THIS SONE WHEN I WAS 6-7😂,2,0
159,We still blast this during school trips,1,0
160,2023 Same 🎵? Drop your like ❤,1,1
161,I love baby,2,0
162,Just commenting here so that i can be a part of this legendary chat,1,0
163,just come here to add dislike,1,1
164,pov:amabas esta canción hasta que te enteraste de quien es,1,0
165,Atmitamolos de pequeñas estábamos enamoradas de Justin,1,1
166,World Most Dislike Song 🇧🇩✌️,1,0
167,so nostalgic,1,0
168,"Overview

Lyrics

Videos

Listen

Other recordings

Artists

Analysis

Main results

Oh-ooh-whoa-oh-oh-oh-oh
Oh-ooh-whoa-oh-oh-oh-oh
Oh-ooh-whoa-oh, oh-oh-oh-oh

You know you love me (yo), I know you care (uh-huh)
Just shout whenever (yo), and I'll be there (uh-huh)
You are my love (yo), you are my heart (uh-huh)
And we will never, ever, ever be apart (yo, uh-huh)

Are we an item? (Yo) girl, quit playin' (uh-huh)
""We're just friends"" (yo), what are you sayin'? (Uh-huh)
Said, ""There's another"" (yo), and looked right in my eyes (uh-huh)
My first love broke my heart for the first time, and I was like (yo, uh-huh)

""Baby, baby, baby, oh""
Like, ""Baby, baby, baby, no""
Like, ""Baby, baby, baby, oh""
I thought you'd always be mine, mine

""Baby, baby, baby, oh""
Like, ""Baby, baby, baby, no""
Like, ""Baby, baby, baby, oh""
I thought you'd always be mine, mine

Oh, for you, I would've done whatever (uh-huh)
And I just can't believe we ain't together (yo, uh-huh)
And I wanna play it cool (yo), but I'm losin' you (uh-huh)
I'll buy you anything (yo), I'll buy you any ring (uh-huh)

And I'm in pieces (yo), baby, fix me (uh-huh)
And just shake me 'til you wake me from this bad dream (yo, uh-huh)
I'm goin' down (oh), down, down, down (uh-huh)
And I just can't believe, my first love won't be around, and I'm like

""Baby, baby, baby, oh""
Like, ""Baby, baby, baby, no""
Like, ""Baby, baby, baby, oh""
I thought you'd always be mine, mine

""Baby, baby, baby, oh""
Like, ""Baby, baby, baby, no""
Like, ""Baby, baby, baby, oh""
I thought you'd always be mine, mine (Luda!)

When I was 13, I had my first love
There was nobody that compared to my baby
And nobody came between us, nor could ever come above
She had me goin' crazy
Oh, I was starstruck
She woke me up daily
Don't need no Starbucks (woo)

She made my heart pound
And skip a beat when I see her in the street and
At school on the playground
But I really wanna see her on the weekend
She knows she got me dazin'
'Cause she was so amazin'
And now, my heart is breakin'
But I just keep on sayin'

""Baby, baby, baby, oh""
Like, ""Baby, baby, baby, no""
Like, ""Baby, baby, baby, oh""
I thought you'd always be mine, mine

""Baby, baby, baby, oh""
Like, ""Baby, baby, baby, no""
Like, ""Baby, baby, baby, oh""
I thought you'd always be mine, mine

I'm gone (yeah, yeah, yeah, yeah, yeah, yeah)
Now, I'm all gone (yeah, yeah, yeah, yeah, yeah, yeah)
Now, I'm all gone (yeah, yeah, yeah, yeah, yeah, yeah)
Now, I'm all gone (gone, gone, gone)
I'm gone",2,0
169,Nice,2,0
170,Hii from india 2023,1,0
171,Best,2,1
172,Amazing song,2,0
173,I am still  listening  to this song and it's  now  2023,1,0
174,Happy 13 year old 😭✝️❤️,2,0
175,"does anyone listen to songs when your mom and dad are not because i do
🤪",1,0
176,Justin had insane rizz,0,0
177,Who do you think you are to break the Argentine flag?,1,0
178,Questa musica e top 2023 🔥🔥,2,0
179,Whos is watching this in 2023,1,0
180,Bhojpuri films main b same hota hai 😂😂,2,0
181,"Justin Beiber had a lot of babys when this song came out.
Drake had a cameo appearance",1,0
182,I just love this one so much,2,0
183,Legend are waiting 2023🤣🤣🤣🤣,1,0
184,baby baby baby ohhhhhhhhh,1,0
185,Muito bom,1,0
186,For some reason this song reminds me of GTA San Andreas. 🤷,1,0
187,2023,1,0
188,My childhood song 🌚👊🏼,1,0
189,Justin Bieber is on 🔥🔥🔥🔥🔥🔥⭐⭐⭐⭐⭐🌟🥰,1,1
190,0,1,0
191,"Kto słucha to wo 2023 
Ps ja",1,0
192,Le meilleur >>>,1,1
193,🥰🥰🥰🥰🥰🥰🥰❤❤❤❤❤❤❤❤❤❤❤❤🙊❤,1,0
194,"always my favroite song
🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰😍😍😍😍😍😍😍🤩😘",1,0
195,Any body notice,1,0
196,Drake Is also their,1,0
197,"2023 year Baby likes..... 🥰
Bloody Sweet Heart Touching
Never Forget..... 🌹",0,0
198,My name is Bumi 0:29,1,0
199,https://youtu.be/b1qH7z8sOEo,1,0
200,IKAW LANG ANG GUSTO NG BUYHAY KO KAYA BABY BABY BABY NOH.,1,0
201,❤️❤️,1,0
202,"I LOVE YOU MANJU..😘😘
EN WIFE MANJU..👰💞😘😘",2,1
203,2023,1,0
204,WHO STILL LISTEN THIS SONG 2023 😊🎶🎵,1,0
205,ANYONE HERE FROM 2023😂😂,1,0
206,Love you Justin ♥️,2,0
207,get the white boys on the ufo to agartha type shit,0,0
208,Fair,2,1
209,Drake without beard,1,0
210,14.37million dislikes,1,0
211,"Let's be honest, Justin Bieber owned the world for few days when this song was",2,0
212,2023😇😇Lengend never change.... If u listen like it👇,1,1
213,Legend are listening in 2023😅😉,1,0
214,this song is actually fire.,1,0
215,Almost 13 years!,1,0
216,🎉,1,0
217,Growing up is realizing this song is a banger,1,0
218,that song is most disliked videos but song never get old❤❤❤❤❤❤,1,0
219,05 /02/2023 let see how many legend was watching this masterpice song watching 💖💖💖💖,2,0
220,Listening in 2023.....,1,1
221,look at this little hetero groomer trying to force sex on our children,0,1
222,coming back to the comments section and seeing everyone praising this song feels like I fell into a different universe. this man was the butt of every joke in 2010,1,0
223,Hh,1,1
224,Love From India'   👀❤️✨,2,1
225,Esta cancion es una joya nunca pasara de moda Bendiciones para todos lo que siguen comentando 🌠🥺,1,1
226,Justin bieber 👑👑👑👑,1,1
227,https://advancetextile86.blogspot.com/2020/08/the-manufacturing-process-of-rayon.html,1,0
228,For the future generations - This video had 14M dislikes in 2023.,1,0
229,Tava grávida 🤰 da minha primeira filha hoje com 12 anos eu vivia ouvindo e cantando essa música,1,0
230,I love u song,2,0
231,*You can’t tell me this ISNT your favorite song…*,2,0
232,Excelente canción escuchada en 2023,1,1
233,JB you are on the right tracked...Having God in our life is so wonderful! It gives us inner peace and true happines. God loves us all. Spread more goodness JB😇😇😇,2,1
234,Love you baby boy 😘😘,2,0
235,i love this song like it u do to,2,0
236,I love this song so much I  did I have my first love when u was 8or7,2,0
237,Drake 1:14 🤯😱😱,1,1
238,I listen to this song everyday,0,0
239,Quien escuchando esta joya antigua en 2023?,1,1
240,Vamos pra 3.000.000.000,1,1
241,I  love this song  i am from India,2,0
242,"No veía este video desde que tenia 6 años, que nostálgico🥲",1,0
243,"vevyy, vevi",1,0
244,Justin was such a sweetheart,1,0
245,bro does not get it that   he is in the FRIENDZONE,1,1
246,Eu te amo,1,0
247,I love the songs of justein Beiber very much 😊😍😂❤️😍😊😍😁❤️❤️😍😊🤣😁😍😊😍😁❤️😍😍😊😊. Because he is my favourite singer 😅🤣😅😉😉😅😅🤣😅🤣🤣😅😅,2,0
248,Back when we thought Justin Bieber was a girl,1,1
249,1:13 yoooo is that drake,1,1
250,Ana I sing it also its alsom,1,0
251,But a little wired,0,0
252,Love it its my favorite song and it is cute,2,0
253,I love you,2,0
254,I hate this song,0,0
255,800 GOD ❤️❤️❤️,1,1
256,799 GOD 🤍🤍🤍,1,1
257,798 GOD 🎉🎉🎉,1,1
258,797 GOD 😃😃😃,1,1
259,796 GOD 💕💕💕,1,1
260,795 GOD 🥰🥰🥰,1,1
261,794 GOD 💞💞💞,1,1
262,793 GOD 🤑🤑🤑,1,1
263,792 GOD 💛💛💛,1,1
264,791 GOD 👻👻👻,1,1
265,790 GOD 🖤🖤🖤,1,1
266,789 GOD 💚💚💚,1,1
267,787 GOD 🌷🌷🌷,1,1
268,786 GOD 💗💗💗,1,1
269,785 GOD 💘💘💘,1,1
270,784 GOD 💝💝💝,1,1
271,783 GOD 🐰🐰🐰,1,1
272,Tüm ergenliğimsin,1,0
273,782 GOD 💙💙💙,1,1
274,781 GOD 👑👑👑,1,1
275,780 GOD 💓💓💓,1,1
276,779 GOD 🌹🌹🌹,1,1
277,778 GOD 🤩🤩🤩,1,1
278,777 GOD 🐇🐇🐇,1,1
279,776 GOD ❣️❣️❣️,1,1
280,775 GOD 😍😍😍,1,1
281,774 GOD ♥️♥️♥️,1,1
282,"I don't get why everyone hates this song, it's a banger. 

this song is well loved at my school (we played it during a kareoke contest and we got the whole room singing along)",2,0
283,773 GOD 🤣🤣🤣,1,1
284,772 GOD 😜😜😜,1,1
285,771 GOD 🥀🥀🥀,1,1
286,770 GOD 🤪🤪🤪,1,1
287,769 GOD 😀😀😀,1,1
288,768 GOD 😱😱😱,1,1
289,767 GOD 💖💖💖,1,1
290,766 GOD 🎈🎈🎈,1,1
291,765 GOD 🙏🙏🙏,1,1
292,764 GOD 😊😊😊,1,1
293,763 GOD ❤️❤️❤️,1,1
294,My song😜,1,0
295,❤❤❤❤❤❤😅2023,1,0
296,Almost 13 years later and this song still blows cocks,1,0
297,i almost forgot drake’s goofy ass was in here 💀💀,1,1
298,This Song is Always best Song.,2,0
299,This once was the anthem of the internet...,1,1
300,1:14 DRAAAAKKEEE,1,0
301,https://youtu.be/g4f88afEbiI,1,0
302,"lyrics,[Intro: Justin Bieber]
Oh, woah-oh-oh-oh-oh
Oh, woah-oh-oh-oh, oh
Oh, woah, oh-oh-oh, oh, oh-oh, oh, oh-oh, oh

[Verse 1: Justin Bieber & Ludacris]
You know you love me, I know you care (Yo, uh-huh)
Just shout whenever and I'll be there (Yo, uh-huh)
You are my love, you are my heart (Yo, uh-huh)
And we will never, ever, ever be apart (Yo, uh-huh)
Are we an item? Girl, quit playin' (Yo, uh-huh)
We're just friends, what are you sayin'? (Yo, uh-huh)
Said, ""There's another"" and looked right in my eyes (Yo, uh-huh)
My first love broke my heart for the first time, and I was like (Yo, uh-huh)
[Chorus: Justin Bieber]
Baby, baby, baby, oh
Like baby, baby, baby, no
Like baby, baby, baby, oh
Thought you'd always be mine, mine
Baby, baby, baby, oh
Like baby, baby, baby, no
Like baby, baby, baby, oh
Thought you'd always be mine, mine

[Verse 2: Justin Bieber & Ludacris]
Oh, for you, I would've done whatever (Yo, uh-huh)
And I just can't believe we ain't together (Yo, uh-huh)
And I wanna play it cool, but I'm losin' you (Yo, uh-huh)
I'll buy you anything, I'll buy you any ring (Yo, uh-huh)
And I'm in pieces, baby, fix me (Yo, uh-huh)
And just shake me till you wake me from this bad dream (Yo, uh-huh)
I'm goin' down, down, down, down (Yo, uh-huh)
And I just can't believe my first love won't be around, and I'm like

[Chorus: Justin Bieber]
Baby, baby, baby, oh
Like baby, baby, baby, no
Like baby, baby, baby, oh
Thought you'd always be mine, mine
Baby, baby, baby, oh
Like baby, baby, baby, no
Like baby, baby, baby, oh
Thought you'd always be mine, mine
See Justin Bieber Live
Get tickets as low as $77
You might also like
Kill Bill
SZA
Say You Won’t Let Go
James Arthur
Poland
Lil Yachty
[Verse 3: Ludacris]
(Luda) When I was thirteen, I had my first love
There was nobody that compared to my baby, and nobody came between us nor could ever come above
She had me goin' crazy, oh, I was starstruck
She woke me up daily, don't need no Starbucks (Woo)
She made my heart pound, and skip a beat when I see her in the street and
At school on the playground, but I really wanna see her on the weekend
She knows she got me dazing 'cause she was so amazin'
And now my heart is breakin', but I just keep on sayin'

[Chorus: Justin Bieber]
Baby, baby, baby, oh
Like baby, baby, baby, no
Like baby, baby, baby, oh
Thought you'd always be mine, mine
Baby, baby, baby, oh
Like baby, baby, baby, no
Like baby, baby, baby, oh
Thought you'd always be mine, mine

[Outro: Justin Bieber]
I'm gone (Yeah-yeah-yeah, yeah-yeah-yeah)
Now I'm all gone (Yeah-yeah-yeah, yeah-yeah-yeah)
Now I'm all gone (Yeah-yeah-yeah, yeah-yeah-yeah)
Now I'm all gone (Gone, gone, gone, gone), I'm gone",2,0
303,Listen no hate juts capture..,0,1
304,Bachpan ki yaadien😍,1,0
305,a song sensation,1,0
306,From little kid at grown man,0,1
307,🔥🔥🔥🔥🔥🔥,1,0
308,Anyone is 2023?,1,0
309,https://youtube.com/shorts/oluqqrgVQw8?feature=share,1,0
310,yo girl be god damn flat as hell,0,0
311,Very nice song 🎵,2,0
312,🇧🇩🇧🇩🇧🇩,1,0
313,Anyone From 2023......🙋🙋🙋,1,0
314,isn't it cool that there's at least one person listening to this song at the same time as you every time you listen to it XD,0,0
315,feb 2023 and the king JB still owns youtube,1,0
316,"어릴때 영어학원 선생님이 뭐 틀어줄까 물어봐서
난 걍 이노래가 좋아서 이거 골랐는데 애들이 다 이상하고 므흣한 표정으로 쳐다봄",1,0
317,"I just don’t see what is wrong and so bad about wanting to give a good looking girl some love, ( love making ) people laugh at me because of that ,and many girls really hurt me by calling me ugly when it’s not my fault and were so mean to me, ( You Can’t Really Trust People ),I mean ,look what those Serbs have done in Bosnia during that aggression ,thousands of Bosniak women and young girls were RAPED in such brutal ways and I get this hate,why does God allow all of this?? They got pleasure ,i can also buddy.(❤️✌️👍).",2,1
318,"I think of my kids with this song. My ex wife took them away from me and the court believed her story.  Come back to me, babies",1,0
319,😍,1,0
320,😄😄😄😄😄😘😘😘😘😘😍😍😍😍🥰🥰🥰😜😜😆😆😆😃😃😃,1,0
321,,1,0
322,Justin biber rocks,1,1
323,Very good song,2,0
324,THIS MASTERPIECE NEVER GETTING OLD🥰❤️💯❤️,1,1
325,https://youtube.com/@DiLa_Do,1,0
326,Brooooo i mean he slayed😭💗,0,1
327,Legends see this real video in 2023 🥰,2,0
328,كنت أسمعها مع صديقي ورحل عني ربي يرحمك يا علي 🥺🥺🥺😭😭😭,1,0
329,Song so good   🥰🥰,2,0
330,The song is gold.,1,0
331,So ugly,0,0
332,Baby baby baby no please don't do these dance moves anymore,1,0
333,The dance moves are so bad though like no that is not ok like seriously,0,0
334,He rolls on a table #usless,1,0
335,She doesn't want a fucking ring she want to leave her alone,0,0
336,Don't touch her man,1,0
337,What up with the heart thing,1,0
338,Like this should be elegale,1,0
339,Bro just stop,1,1
340,Bro she's running away,1,1
341,No,1,0
342,sogud,1,0
343,He goes in to kiss her right after she said,2,0
344,What up with his moves like #cring,1,0
345,He latterly pulls her shirt so technically he is harassing her,1,0
346,He is such a show off at bowling,1,0
347,Nice song supr,2,0
348,"Initially like many others I despised this song so much but later I realised how nostalgic it is. A much simpler time, school, and hanging out playing games together with my friends. No adult life bs, responsibilities, work, and loneliness. YouTube truly is the closest to an easy access time machine.",2,0
349,Você percebe que tá velho quando volta aqui e vê que esse clipe foi lançado a 12 anos atrás,1,0
350,❤️🎧🎤,1,0
351,So so sa song hai,1,0
352,did u know drake on the video clip back then? watch 1:14,1,0
353,why im here again,1,0
354,this is song is soo good 👍👍,2,0
355,I love justin Bieber,2,0
356,j mới đó 12 năm r :)),1,0
357,u made me sad my girl broke up with me yesterday,0,0
358,Baby Justin looks like Stephen SALVATORE from vampire diaries ♥️♥️♥️♥️♥️♥️♥️♥️,1,0
359,Que saudade meu Deus,1,0
360,"(Luda) When I was thirteen, I had my first love
There was nobody that compared to my baby, and nobody came between us nor could ever come above
She had me goin' crazy, oh, I was starstruck
She woke me up daily, don't need no Starbucks (Woo)
She made my heart pound, and skip a beat when I see her in the street and
At school on the playground, but I really wanna see her on the weekend
She knows she got me dazing 'cause she was so amazin'
And now my heart is breakin', but I just keep on sayin'",2,1
361,Mi primer amor platonico ❤,1,0
362,I hate that it's so catchy yet annoying at the same time!,0,0
363,😇🎟❤,1,0
364,1:15  why Drake is there wtf🤨🤨,1,1
365,Seneng kk dek deger lagu pertamo kau,1,0
366,It's never get old 💗😭,2,1
367,"Fun Fact: This Masterpiece will never gets older 💘💘..... Listening Daily with dance in my room 😉

Justin Bieber is the best singer in the world...💕💖",2,1
368,Nice❤😍👌,1,0
369,I was 3 when Justin was doing this.😨,1,1
370,I love hearing this song on a long drive,2,1
371,"He looks so flirty as a boy🤩 I was a fan of his since he was a little guy and I still do. I love both of them, Selena & Justin, even though they broke up.",2,0
372,I love this 🥰🥰🥰🥰,2,0
373,Hukumnya pacaran haram,1,1
374,ALLAH IS GOD,1,1
375,Aye!,1,0
376,🎳,1,0
377,This song are very beautiful ❤️❤️😍😍,2,0
378,healing my inner childhood 🥺,1,1
379,😇🤷‍♀️😇,1,0
380,"Lyrics : Oh-ooh-whoa-oh-oh-oh-oh
Oh-ooh-whoa-oh-oh-oh-oh
Oh-ooh-whoa-oh, oh-oh-oh-oh

You know you love me (yo), I know you care (uh-huh)
Just shout whenever (yo), and I'll be there (uh-huh)
You are my love (yo), you are my heart (uh-huh)
And we will never, ever, ever be apart (yo, uh-huh)

Are we an item? (Yo) girl, quit playin' (uh-huh)
""We're just friends"" (yo), what are you sayin'? (Uh-huh)
Said, ""There's another"" (yo), and looked right in my eyes (uh-huh)
My first love broke my heart for the first time, and I was like (yo, uh-huh)

""Baby, baby, baby, oh""
Like, ""Baby, baby, baby, no""
Like, ""Baby, baby, baby, oh""
I thought you'd always be mine, mine

""Baby, baby, baby, oh""
Like, ""Baby, baby, baby, no""
Like, ""Baby, baby, baby, oh""
I thought you'd always be mine, mine

Oh, for you, I would've done whatever (uh-huh)
And I just can't believe we ain't together (yo, uh-huh)
And I wanna play it cool (yo), but I'm losin' you (uh-huh)
I'll buy you anything (yo), I'll buy you any ring (uh-huh)

And I'm in pieces (yo), baby, fix me (uh-huh)
And just shake me 'til you wake me from this bad dream (yo, uh-huh)
I'm goin' down (oh), down, down, down (uh-huh)
And I just can't believe, my first love won't be around, and I'm like

""Baby, baby, baby, oh""
Like, ""Baby, baby, baby, no""
Like, ""Baby, baby, baby, oh""
I thought you'd always be mine, mine

""Baby, baby, baby, oh""
Like, ""Baby, baby, baby, no""
Like, ""Baby, baby, baby, oh""
I thought you'd always be mine, mine (Luda!)

When I was 13, I had my first love
There was nobody that compared to my baby
And nobody came between us, nor could ever come above
She had me goin' crazy
Oh, I was starstruck
She woke me up daily
Don't need no Starbucks (woo)

She made my heart pound
And skip a beat when I see her in the street and
At school on the playground
But I really wanna see her on the weekend
She knows she got me dazin'
'Cause she was so amazin'
And now, my heart is breakin'
But I just keep on sayin'

""Baby, baby, baby, oh""
Like, ""Baby, baby, baby, no""
Like, ""Baby, baby, baby, oh""
I thought you'd always be mine, mine

""Baby, baby, baby, oh""
Like, ""Baby, baby, baby, no""
Like, ""Baby, baby, baby, oh""
I thought you'd always be mine, mine

I'm gone (yeah, yeah, yeah, yeah, yeah, yeah)
Now, I'm all gone (yeah, yeah, yeah, yeah, yeah, yeah)
Now, I'm all gone (yeah, yeah, yeah, yeah, yeah, yeah)
Now, I'm all gone (gone, gone, gone)
I'm gone

If you like then subscribe my channel 🤗",2,0
381,Ilove,1,0
382,i have crush so this song i will song for her and i like this song,1,0
383,How Drizzy got here?,1,0
384,"Me thinking , hmmm his from Canada so is drake hmmm they should make a song together, next thing I see is drake 😂",1,1
385,"Back then Justin Bieber,
 used to be every girls dream boyfriend",1,1
386,Best,2,1
387,❤️❤️üniversite 2 tatilinde evde dinliyorum. 10 sene sonra gelicem buraya,1,0
388,this song is good to listen,2,0
389,Best ❤️ Wow,2,1
390,who else never knew drake was in the mv this whole time,2,1
391,nu hsr,1,1
392,MVにDrake出てるの知らんかったぜ,1,0
393,All time favourite 😜😜😃😃,1,0
394,Whats drake doing here,1,1
395,I think drake was there,1,0
396,Listening in February 2023,1,1
397,El bananero sapeeeeeeee,1,1
398,Raise hanx if you listening on 4 feb👋,1,1
399,Wow,2,1
400,14m dislikes in 2023,1,0
401,Listen this song feel my students life journey,1,0
402,so what i am still here??,1,0
403,"What's up baby, I miss u, come by now",1,1
404,March,1,0
405,Out of all the times I’ve seen this song only now have I realized that Drake is in this 💀 1:15,1,0
